"","lambdas","alpha_intra","alpha_generic","gamma_H_generic","gamma_FV_generic","focal","year","complexity.plant","complexity.animal"
"2113",0.854516151578658,0.104842338929233,-0.0532086473518005,0.032783326579309,0.0641254409207969,"LEMA","All","class","group"
"2114",0.851483654095037,-0.0700291013314259,-0.00557729979836818,-0.0123553800329523,0.0486465863895719,"LEMA","All","class","group"
"2115",0.858152297093297,0.0465856061175076,-0.0225193154899838,0.010143704592221,-0.0481567750086842,"LEMA","All","class","group"
"2116",0.853875405826131,-0.0501979521387843,-0.031532203300073,0.0916022955854916,0.123554905142082,"LEMA","All","class","group"
"2117",0.854668396656361,-0.197518384671829,-0.0362121148122978,0.0906660629864324,0.0705988989750212,"LEMA","All","class","group"
"2118",0.853335462402119,-0.0719322944497655,-0.0424071469826564,0.0995730948040682,0.000978489291935119,"LEMA","All","class","group"
"2119",0.84767455881789,-0.0300468961787025,0.0213223564311922,0.0860773488785017,0.0197497283283754,"LEMA","All","class","group"
"2120",0.852614885630639,-0.0271129965762418,-0.0198211155169428,0.0115616573452786,0.192150483094933,"LEMA","All","class","group"
"2121",0.857895373090381,0.0491523156750271,0.0117606050080727,0.0113386379192636,-0.0268493926429881,"LEMA","All","class","group"
"2122",0.86055347248429,0.0488584517332766,-0.00268137559765302,-0.0584292332722821,0.0944699491849981,"LEMA","All","class","group"
"2123",0.857693054147784,0.0245905573202458,-0.0663280981728673,-0.0669241251666163,0.117463856974606,"LEMA","All","class","group"
"2124",0.850023070968178,0.0475669939010746,0.0425688789169585,0.00785212518549934,0.145791949745948,"LEMA","All","class","group"
"2125",0.865164557705601,-0.158703390693135,-0.0417490270024191,-0.00794315333090094,-0.039305900113456,"LEMA","All","class","group"
"2126",0.847104575045184,-0.0552588737528082,-0.00437820485884943,0.0203226710256912,0.132097718802369,"LEMA","All","class","group"
"2127",0.872669959931597,-0.0350220253121635,-0.0652849981084791,-0.0906519547327485,0.123963648099992,"LEMA","All","class","group"
"2128",0.859046540715515,0.00323413762640024,-0.0424450172280416,0.0860949983898281,0.0918920638361164,"LEMA","All","class","group"
"2129",0.854785577544987,-0.0754285771953885,-0.0537826060607458,-0.00690128392307684,0.131818886815062,"LEMA","All","class","group"
"2130",0.864947252097844,-0.124864404721433,-0.0401148622863913,-0.0158690010735562,0.104744588053063,"LEMA","All","class","group"
"2131",0.855203383607428,0.0594071261338787,-0.0473080033110937,0.0267272029450331,0.0429536355367548,"LEMA","All","class","group"
"2132",0.855740687993562,-0.18986246418252,-0.0283461036330862,0.0235475304475476,0.230958378685009,"LEMA","All","class","group"
"2133",0.853026154477152,-0.0917720196878328,-0.015197983128471,0.0486669690754376,0.136774684734827,"LEMA","All","class","group"
"2134",0.850460888437857,-0.13436685645591,-0.000128303052091217,-0.00569181821768758,0.14759879363782,"LEMA","All","class","group"
"2135",0.852069063313811,-0.0548589645196752,-0.020027211279888,0.0415433633079152,0.070073554936087,"LEMA","All","class","group"
"2136",0.865537405764174,-0.215756822760873,-0.0497639907763163,-0.150784273110209,0.174485047892121,"LEMA","All","class","group"
"2137",0.860185552628381,-0.359541246950084,-0.0520096602985795,0.030995949545513,0.0853051059456775,"LEMA","All","class","group"
"2138",0.852117204598505,-0.0627082731000463,-0.0160960466600827,-0.0360636863367221,0.209530110213995,"LEMA","All","class","group"
"2139",0.857762544885115,-0.0138930450709868,-0.0236267553619979,-0.0718231894891734,0.0606551020567937,"LEMA","All","class","group"
"2140",0.854219690400269,-0.0493056352752212,-0.0335016817115666,0.0406214680554542,0.161409498901006,"LEMA","All","class","group"
"2141",0.841961548018738,-0.0685270990643561,-2.09703148977836e-05,0.0898570330363405,0.209215711773952,"LEMA","All","class","group"
"2142",0.861106632218525,-0.191121941438004,-0.0326094393864803,-0.0483615941703708,0.0292773624604504,"LEMA","All","class","group"
"2143",0.863431446524302,-0.189935375922835,-0.0105749738936304,-0.0431630133427268,0.0512916847119707,"LEMA","All","class","group"
"2144",0.856578414586983,-0.178706176896271,-0.0261472179668985,0.0569752650910137,0.160421274444398,"LEMA","All","class","group"
"2145",0.86582152567825,-0.148018574020723,-0.0395926773461471,0.0459067015098256,0.043670742552665,"LEMA","All","class","group"
"2146",0.865312627234673,-0.121033336534337,-0.0269684628997942,-0.126098936273794,0.120817310132526,"LEMA","All","class","group"
"2147",0.866363475943302,-0.11344492943414,-0.0875045482378454,-0.0961914567350729,0.141327371348323,"LEMA","All","class","group"
"2148",0.857514413125983,0.00960809293634601,-0.0421521606027013,0.0986479236634309,0.129310156025029,"LEMA","All","class","group"
"2149",0.858854259903262,-0.0623281966968808,-0.0359014837024715,0.0803954792722414,0.0237841370875893,"LEMA","All","class","group"
"2150",0.850027727172269,-0.0684640910439539,-0.00310547254210602,0.0809860430186372,0.165104632557923,"LEMA","All","class","group"
"2151",0.864417613139885,-0.100879420247151,-0.0313376171432997,0.0159092444247782,0.0185903412316765,"LEMA","All","class","group"
"2152",0.848548423210703,0.00880535942972016,-0.0306420005701762,0.0114963965805992,0.171051810244578,"LEMA","All","class","group"
"2153",0.861156949111831,-0.113579388486395,-0.0335858580421864,-0.00924514501177424,0.174832510499689,"LEMA","All","class","group"
"2154",0.850123131726514,-0.147951334635974,1.72926941377494e-05,0.0504562884611799,0.155667748007697,"LEMA","All","class","group"
"2155",0.858939681864228,-0.196295329210822,-0.0608684895085938,-0.00770055563366887,0.113986726176479,"LEMA","All","class","group"
"2156",0.858169127845032,-0.0884982236354375,-0.0118543961088612,-0.0263991519235963,0.104978088928023,"LEMA","All","class","group"
"2157",0.854429584164554,-0.10574053475101,-0.0487475830098975,0.00638244653935184,0.153679053954731,"LEMA","All","class","group"
"2158",0.846678085805392,-0.110117804410984,0.0291215261091049,-0.0031889919148809,0.098750728951845,"LEMA","All","class","group"
"2159",0.858666120287661,0.140685457795025,-0.0737374915970135,-0.148663062894347,0.199983544190294,"LEMA","All","class","group"
"2160",0.853365975116352,-0.0142218613166477,-0.0172272625366798,-0.0786550943047769,0.125865689743524,"LEMA","All","class","group"
"2161",0.858905321484043,-0.167276990769473,0.00273693591845259,-0.01800023185841,0.113031420944262,"LEMA","All","class","group"
"2162",0.863086608353124,-0.0255223112074968,-0.041068496944732,-0.0167333117824176,0.091447144596942,"LEMA","All","class","group"
"2163",0.851503854017496,-0.167300773339737,-0.0384837576721782,0.0363027741256767,0.119305144288251,"LEMA","All","class","group"
"2164",0.87188534377216,-0.0338145741605369,-0.0765444222697883,-0.121837272403437,0.0246814340025638,"LEMA","All","class","group"
"2165",0.850042898694918,-0.140002001226846,0.0527709128464198,0.0946865312939931,0.0921114986841354,"LEMA","All","class","group"
