"","focal","year","complexity.plant","parameter","positive.perc","neg.perc","null.perc","positive.perc_hat","neg.perc_hat","null.perc_hat","positive.perc_mean","positive.perc_var","neg.perc_mean","neg.perc_var","mean.estimate","median.estimate","ten.estimate","ninety.estimate","var.estimate","mean.estimate_hat","median.estimate_hat","ten.estimate_hat","ninety.estimate_hat","var.estimate_hat","positive.perc_overall"
"55","LEMA",2020,"family","Plant - herbivore",1,0,0,0,0,0,0.588312500000014,0.141723525689073,0.411687500000013,0.141723525689055,0.356631623530534,0.356294677801994,0.301951339604868,0.411694489964152,0.00228632988177162,NA,NA,NA,NA,NA,0
"56","LEMA",2020,"family","Plant - floral visitor",0.8165,0.1835,0,0,0,0,0.588312500000014,0.141723525689073,0.411687500000013,0.141723525689055,0.0459934490960715,0.046056265,-0.0137769136,0.108105844,0.0026087392351559,NA,NA,NA,NA,NA,0
"57","LEMA",2020,"code.plant","Intraspecific",0.5165,0.4835,0,0,0,0,0.617812499999992,0.162659271673258,0.382187500000024,0.162659271673254,0.00274426669363801,0.00290205645917507,-0.0883848354768299,0.0963100235852323,0.00616621076092182,NA,NA,NA,NA,NA,0
"58","LEMA",2020,"code.plant","Plant - plant",5e-04,0.9995,0,0,1,0,0.617812499999992,0.162659271673258,0.382187500000024,0.162659271673254,-0.152207978215848,-0.152790164784533,-0.210477544326468,-0.0937982934735669,0.00247882094449269,-0.198072099494912,-0.197828793000569,-0.259148044270047,-0.137280947388245,0.00267519255527552,0
"59","LEMA",2020,"code.plant","Plant - herbivore",1,0,0,0,0,0,0.617812499999992,0.162659271673258,0.382187500000024,0.162659271673254,0.348384566402658,0.347312735955159,0.293133098214445,0.404289328290186,0.00219083048286803,NA,NA,NA,NA,NA,0
"60","LEMA",2020,"code.plant","Plant - floral visitor",0.95425,0.04575,0,0,0,0,0.617812499999992,0.162659271673258,0.382187500000024,0.162659271673254,0.073990404760455,0.073712135,0.02164061,0.125129084,0.00193542381088365,NA,NA,NA,NA,NA,0
"61","LEMA",2021,"class","Intraspecific",0.01275,0.98725,0,0,0,0,0.407937499999978,0.177758840396304,0.59206250000004,0.177758840396301,-0.200242412303063,-0.200374747970321,-0.30568315607121,-0.0955505359077686,0.0079867991836336,NA,NA,NA,NA,NA,0.0041875
"62","LEMA",2021,"class","Plant - plant",0.0025,0.9975,0,0.01675,0.98325,0,0.407937499999978,0.177758840396304,0.59206250000004,0.177758840396301,-0.125476894509485,-0.126330238212772,-0.174005099462636,-0.0764728025279918,0.00174119348584336,-0.151654673423122,-0.151320346121644,-0.229684498545626,-0.073804974003539,0.00459050678937555,0.0041875
"63","LEMA",2021,"class","Plant - herbivore",0.62125,0.37875,0,0,0,0,0.407937499999978,0.177758840396304,0.59206250000004,0.177758840396301,0.0185769615634001,0.0172619211973254,-0.0423242307030254,0.0814497885864732,0.00288877668627555,NA,NA,NA,NA,NA,0.0041875
"64","LEMA",2021,"class","Plant - floral visitor",0.99525,0.00475,0,0,0,0,0.407937499999978,0.177758840396304,0.59206250000004,0.177758840396301,0.129035421488,0.1280854,0.0680515724,0.190543676,0.00273580430025705,NA,NA,NA,NA,NA,0.0041875
"65","LEMA",2021,"family","Intraspecific",0.011,0.989,0,0,0,0,0.337437500000002,0.129585610819443,0.662562500000001,0.12958561081944,-0.19643405983139,-0.196237229826002,-0.29231536846859,-0.0964633935517501,0.00718842932375437,NA,NA,NA,NA,NA,0
"66","LEMA",2021,"family","Plant - plant",0,1,0,0,0,0,0.337437500000002,0.129585610819443,0.662562500000001,0.12958561081944,-0.210712436572431,-0.21164300133594,-0.260464967844967,-0.160570677069536,0.0017686130387641,NA,NA,NA,NA,NA,0
"67","LEMA",2021,"family","Plant - herbivore",0.86625,0.13375,0,0,0,0,0.337437500000002,0.129585610819443,0.662562500000001,0.12958561081944,0.054195043425222,0.0540908033957653,-0.00355403554136474,0.11194417190602,0.00241951263775583,NA,NA,NA,NA,NA,0
"68","LEMA",2021,"family","Plant - floral visitor",0.4725,0.5275,0,0,0,0,0.337437500000002,0.129585610819443,0.662562500000001,0.12958561081944,-0.00321804568379125,-0.0034569555,-0.0552461636,0.0491111896,0.00203176626557305,NA,NA,NA,NA,NA,0
"69","LEMA",2021,"code.plant","Intraspecific",0.00375,0.99625,0,0,0,0,0.415812499999993,0.185807624695294,0.584187500000057,0.185807624695257,-0.22507390777871,-0.224309772942642,-0.325611648239279,-0.125204866446492,0.00717103626139021,NA,NA,NA,NA,NA,0
"70","LEMA",2021,"code.plant","Plant - plant",0,1,0,0,0,0,0.415812499999993,0.185807624695294,0.584187500000057,0.185807624695257,-0.214829225505893,-0.216629272464458,-0.26668510717214,-0.159499199941491,0.00210694704819615,NA,NA,NA,NA,NA,0
"71","LEMA",2021,"code.plant","Plant - herbivore",0.65975,0.34025,0,0,0,0,0.415812499999993,0.185807624695294,0.584187500000057,0.185807624695257,0.0197792702342207,0.0189777045234472,-0.0374810967189545,0.0779596583310717,0.00244398474089942,NA,NA,NA,NA,NA,0
"72","LEMA",2021,"code.plant","Plant - floral visitor",0.99975,0.00025,0,0,0,0,0.415812499999993,0.185807624695294,0.584187500000057,0.185807624695257,0.14621281769625,0.1454749,0.0886342432,0.204360936,0.00241102540515616,NA,NA,NA,NA,NA,0
"73","HOMA",2019,"class","Intraspecific",0.5035,0.4965,0,0,0,0,0.4994375,3.65765047815451e-05,0.5005625,3.6576504781545e-05,0.000273097367551113,0.000125794474696628,-0.0138582898431635,0.01484238098177,0.000149391695369562,NA,NA,NA,NA,NA,0
"74","HOMA",2019,"class","Plant - plant",0.4985,0.5015,0,0,0,0,0.4994375,3.65765047815451e-05,0.5005625,3.6576504781545e-05,-7.7065848997753e-05,-6.44557271679558e-05,-0.0305288418449908,0.0305927249800872,0.00066824939599938,NA,NA,NA,NA,NA,0
"75","HOMA",2019,"class","Plant - herbivore",0.49,0.51,0,0,0,0,0.4994375,3.65765047815451e-05,0.5005625,3.6576504781545e-05,-0.000446055255502766,-0.000390209779230972,-0.0188649110208599,0.018005791652457,0.000245367492246566,NA,NA,NA,NA,NA,0
"76","HOMA",2019,"class","Plant - floral visitor",0.50575,0.49425,0,0,0,0,0.4994375,3.65765047815451e-05,0.5005625,3.6576504781545e-05,0.0005958588180875,0.001222094,-0.118457112,0.118669568,0.0101985540431087,NA,NA,NA,NA,NA,0
"77","HOMA",2019,"family","Intraspecific",0.507,0.493,0,0,0,0,0.5060625,6.51212575785935e-06,0.4939375,6.51212575785779e-06,0.00021790452306354,0.000342799821716034,-0.0164216710350751,0.016579174713221,0.000198946025087807,NA,NA,NA,NA,NA,0
"78","HOMA",2019,"family","Plant - plant",0.509,0.491,0,0,0,0,0.5060625,6.51212575785935e-06,0.4939375,6.51212575785779e-06,0.000162472112224737,0.00068239651512414,-0.0475650421584025,0.0475901365667939,0.00160665538498479,NA,NA,NA,NA,NA,0
"79","HOMA",2019,"family","Plant - herbivore",0.502,0.498,0,0,0,0,0.5060625,6.51212575785935e-06,0.4939375,6.51212575785779e-06,4.05765885500611e-05,9.10228356998026e-05,-0.0210438421528125,0.02080533677124,0.000313121773763998,NA,NA,NA,NA,NA,0
"80","HOMA",2019,"family","Plant - floral visitor",0.50625,0.49375,0,0,0,0,0.5060625,6.51212575785935e-06,0.4939375,6.51212575785779e-06,0.000926398674373,0.001496097,-0.118194576,0.117079984,0.0102608672258977,NA,NA,NA,NA,NA,0
"81","HOMA",2019,"code.plant","Intraspecific",0.51275,0.48725,0,0,0,0,0.506125,2.13294580911258e-05,0.493875,2.13294580911284e-05,0.000570936099922028,0.000338683938020834,-0.0134390281653958,0.0145741285829779,0.000142223040451619,NA,NA,NA,NA,NA,0
"82","HOMA",2019,"code.plant","Plant - plant",0.50725,0.49275,0,0,0,0,0.506125,2.13294580911258e-05,0.493875,2.13294580911284e-05,0.000377702879133272,0.000444306506318659,-0.0301864758542642,0.0311035404434124,0.000659870626990633,NA,NA,NA,NA,NA,0
"83","HOMA",2019,"code.plant","Plant - herbivore",0.5045,0.4955,0,0,0,0,0.506125,2.13294580911258e-05,0.493875,2.13294580911284e-05,-0.00024771690484039,0.000147518612144363,-0.0188968201870066,0.0177477414914914,0.000238652417176807,NA,NA,NA,NA,NA,0
