focal,plot,year,complexity,nobs,Moran.I,statistic,observedrank,alternativeH,npermutation,pvalue,significance
LEMA,9,2019,class,24,-0.071472484,-0.071472484,5,less,99,0.05,
LEMA,1,2019,family,36,-0.033820464,-0.033820464,47,less,99,0.47,
LEMA,2,2019,family,36,-0.022854852,-0.022854852,72,less,99,0.72,
LEMA,3,2019,family,36,-0.026283238,-0.026283238,62,less,99,0.62,
LEMA,4,2019,family,32,-0.036247433,-0.036247433,40,less,99,0.4,
LEMA,5,2019,family,30,-0.021362057,-0.021362057,84,less,99,0.84,
LEMA,6,2019,family,35,-0.007924882,-0.007924882,90,less,99,0.9,
LEMA,7,2019,family,32,-0.033597892,-0.033597892,46,less,99,0.46,
LEMA,8,2019,family,29,-0.045049531,-0.045049531,28,less,99,0.28,
LEMA,9,2019,family,24,-0.073123981,-0.073123981,4,less,99,0.04,*
LEMA,1,2019,code.plant,36,-0.032654832,-0.032654832,41,less,99,0.41,
LEMA,2,2019,code.plant,36,-0.023331741,-0.023331741,73,less,99,0.73,
LEMA,3,2019,code.plant,36,-0.024570417,-0.024570417,58,less,99,0.58,
LEMA,4,2019,code.plant,32,-0.036762761,-0.036762761,47,less,99,0.47,
LEMA,5,2019,code.plant,30,-0.023059337,-0.023059337,78,less,99,0.78,
LEMA,6,2019,code.plant,35,-0.005664992,-0.005664992,93,less,99,0.93,
LEMA,7,2019,code.plant,32,-0.035106368,-0.035106368,42,less,99,0.42,
LEMA,8,2019,code.plant,29,-0.045445525,-0.045445525,27,less,99,0.27,
LEMA,9,2019,code.plant,24,-0.073256912,-0.073256912,3,less,99,0.03,*
LEMA,1,2020,class,33,-0.043035728,-0.043035728,27,less,99,0.27,
LEMA,2,2020,class,35,-0.034860832,-0.034860832,28,less,99,0.28,
LEMA,3,2020,class,32,-0.035770421,-0.035770421,48,less,99,0.48,
LEMA,4,2020,class,32,-0.039463281,-0.039463281,21,less,99,0.21,
LEMA,5,2020,class,33,-0.003733939,-0.003733939,93,less,99,0.93,
LEMA,7,2020,class,36,-0.009578554,-0.009578554,98,less,99,0.98,
LEMA,8,2020,class,36,-0.028317269,-0.028317269,67,less,99,0.67,
LEMA,9,2020,class,31,-0.052359788,-0.052359788,13,less,99,0.13,
LEMA,1,2020,family,33,-0.043126331,-0.043126331,21,less,99,0.21,
LEMA,2,2020,family,35,-0.034548381,-0.034548381,35,less,99,0.35,
LEMA,3,2020,family,32,-0.034321271,-0.034321271,49,less,99,0.49,
LEMA,4,2020,family,32,-0.040915104,-0.040915104,19,less,99,0.19,
LEMA,5,2020,family,33,-0.006093366,-0.006093366,97,less,99,0.97,
LEMA,7,2020,family,36,-0.022115854,-0.022115854,70,less,99,0.7,
LEMA,8,2020,family,36,-0.027978402,-0.027978402,55,less,99,0.55,
LEMA,9,2020,family,31,-0.053507837,-0.053507837,13,less,99,0.13,
LEMA,1,2020,code.plant,33,-0.044374626,-0.044374626,20,less,99,0.2,
LEMA,2,2020,code.plant,35,-0.034616655,-0.034616655,26,less,99,0.26,
LEMA,3,2020,code.plant,32,-0.033577035,-0.033577035,42,less,99,0.42,
LEMA,4,2020,code.plant,32,-0.041539418,-0.041539418,21,less,99,0.21,
LEMA,5,2020,code.plant,33,-0.006139671,-0.006139671,97,less,99,0.97,
LEMA,7,2020,code.plant,36,-0.023757018,-0.023757018,64,less,99,0.64,
LEMA,8,2020,code.plant,36,-0.030123178,-0.030123178,50,less,99,0.5,
LEMA,9,2020,code.plant,31,-0.054869477,-0.054869477,10,less,99,0.1,
LEMA,1,2021,class,36,-0.037520315,-0.037520315,26,less,99,0.26,
LEMA,2,2021,class,35,-0.04436081,-0.04436081,7,less,99,0.07,
LEMA,3,2021,class,32,-0.017318121,-0.017318121,88,less,99,0.88,
LEMA,4,2021,class,31,-0.041404629,-0.041404629,29,less,99,0.29,
LEMA,5,2021,class,31,-0.063178499,-0.063178499,4,less,99,0.04,*
LEMA,6,2021,class,24,-0.037452483,-0.037452483,78,less,99,0.78,
LEMA,7,2021,class,30,-0.050997976,-0.050997976,14,less,99,0.14,
LEMA,8,2021,class,36,-0.025805696,-0.025805696,62,less,99,0.62,
LEMA,9,2021,class,26,-0.062374944,-0.062374944,17,less,99,0.17,
LEMA,1,2021,family,36,-0.036757171,-0.036757171,26,less,99,0.26,
LEMA,2,2021,family,35,-0.045599487,-0.045599487,8,less,99,0.08,
LEMA,3,2021,family,32,-0.015147111,-0.015147111,91,less,99,0.91,
LEMA,4,2021,family,31,-0.040252687,-0.040252687,36,less,99,0.36,
LEMA,5,2021,family,31,-0.06325524,-0.06325524,5,less,99,0.05,
LEMA,6,2021,family,24,-0.028594746,-0.028594746,96,less,99,0.96,
LEMA,7,2021,family,30,-0.053337094,-0.053337094,14,less,99,0.14,
LEMA,8,2021,family,36,-0.027390334,-0.027390334,64,less,99,0.64,
LEMA,9,2021,family,26,-0.059952286,-0.059952286,7,less,99,0.07,
LEMA,1,2021,code.plant,36,-0.035733104,-0.035733104,31,less,99,0.31,
LEMA,2,2021,code.plant,35,-0.044052546,-0.044052546,17,less,99,0.17,
LEMA,3,2021,code.plant,32,-0.018048661,-0.018048661,88,less,99,0.88,
LEMA,4,2021,code.plant,31,-0.041224925,-0.041224925,24,less,99,0.24,
LEMA,5,2021,code.plant,31,-0.063505771,-0.063505771,5,less,99,0.05,
LEMA,6,2021,code.plant,24,-0.039085872,-0.039085872,75,less,99,0.75,
LEMA,7,2021,code.plant,30,-0.052966546,-0.052966546,15,less,99,0.15,
LEMA,8,2021,code.plant,36,-0.026139653,-0.026139653,63,less,99,0.63,
LEMA,9,2021,code.plant,26,-0.062728824,-0.062728824,14,less,99,0.14,
